"bNumber"	"gene"	"function"
"b3999"	"yjaG"	"conserved protein"
"b4000"	"hupA"	"HU, DNA-binding transcriptional regulator, alpha subunit"
"b4001"	"yjaH"	"conserved protein"
"b4002"	"zraP"	"Zn-binding periplasmic protein"
"b4003"	"zraS"	"sensory histidine kinase in two-component regulatory system with ZraR"
"b4004"	"zraR"	"fused DNA-binding response regulator in two-component regulatory system with ZraS"
"b4005"	"purD"	"phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase"
"b4006"	"purH"	"fused IMP cyclohydrolase -!- phosphoribosylaminoimidazolecarboxamide formyltransferase"
"b4007"	"rrsE"	"16S rRNA (rrnE)"
"b4008"	"gltV"	"tRNA-Glu(UUC) (Glutamate tRNA2)"
"b4009"	"rrlE"	"23S rRNA (rrlE)"
"b4010"	"rrfE"	"5S rRNA (rrfE)"
"b4011"	"yjaA"	"conserved protein"
"b4012"	"yjaB"	"predicted acetyltransferase"
"b4013"	"metA"	"homoserine transsuccinylase"
"b4014"	"aceB"	"malate synthase A"
"b4015"	"aceA"	"isocitrate lyase"
"b4016"	"aceK"	"isocitrate dehydrogenase kinase/phosphatase"
"b4017"	"arpA"	"regulator of acetyl CoA synthetase"
"b4018"	"iclR"	"DNA-binding transcriptional repressor"
"b4019"	"metH"	"homocysteine-N5-methyltetrahydrofolate transmethylase, B12-dependent"
"b4020"	"yjbB"	"predicted transporter"
"b4021"	"pepE"	"(alpha)-aspartyl dipeptidase"
"b4022"	"yjbC"	"23S rRNA pseudouridine synthase"
"b4023"	"yjbD"	"conserved protein"
"b4024"	"lysC"	"aspartokinase III"
"b4025"	"pgi"	"glucosephosphate isomerase"
"b4026"	"yjbE"	"predicted protein involved in exopolysaccharide production"
"b4027"	"yjbF"	"predicted lipoprotein involved in exopolysaccharide production"
"b4028"	"yjbG"	"conserved protein involved in exopolysaccharide production"
"b4029"	"yjbH"	"predicted porin involved in exopolysaccharide production"
"b4030"	"yjbA"	"predicted phosphate starvation inducible protein"
"b4031"	"xylE"	"D-xylose transporter"
"b4032"	"malG"	"maltose transporter subunit -!- membrane component of ABC superfamily"
"b4033"	"malF"	"maltose transporter subunit -!- membrane component of ABC superfamily"
"b4034"	"malE"	"maltose transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b4035"	"malK"	"fused maltose transport subunit, ATP-binding component of ABC superfamily -!- regulatory protein"
"b4036"	"lamB"	"maltose outer membrane porin (maltoporin)"
"b4037"	"malM"	"maltose regulon periplasmic protein"
"b4038"	"yjbI"	"conserved protein"
"b4039"	"ubiC"	"chorismate pyruvate lyase"
"b4040"	"ubiA"	"p-hydroxybenzoate octaprenyltransferase"
"b4041"	"plsB"	"glycerol-3-phosphate O-acyltransferase"
"b4042"	"dgkA"	"diacylglycerol kinase"
"b4043"	"lexA"	"DNA-binding transcriptional repressor"
"b4044"	"dinF"	"DNA-damage-inducible SOS response protein"
"b4045"	"yjbJ"	"predicted stress response protein"
"b4046"	"zur"	"DNA-binding transcriptional activator, Zn(II)-binding"
"b4047"	"yjbL"	"predicted protein"
"b4048"	"yjbM"	"predicted protein"
"b4049"	"yjbN"	"tRNA-dihydrouridine synthase A"
"b4050"	"yjbO"	"phage shock protein G"
"b4051"	"qor"	"quinone oxidoreductase, NADPH-dependent, Zn binding"
"b4052"	"dnaB"	"replicative DNA helicase"
"b4053"	"alr"	"alanine racemase 1, PLP-binding, biosynthetic"
"b4054"	"tyrB"	"tyrosine aminotransferase, tyrosine-repressible, PLP-dependent"
"b4055"	"aphA"	"acid phosphatase/phosphotransferase, class B, non-specific"
"b4056"	"yjbQ"	"conserved protein"
"b4057"	"yjbR"	"conserved protein"
"b4058"	"uvrA"	"ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC"
"b4059"	"ssb"	"Single-stranded DNA-binding protein"
"b4060"	"yjcB"	"predicted inner membrane protein"
"b4061"	"yjcC"	"predicted signal transduction protein (EAL domain containing protein)"
"b4062"	"soxS"	"DNA-binding transcriptional dual regulator"
"b4063"	"soxR"	"DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing"
"b4459"	"ryjA"	"small RNA"
"b4064"	"yjcD"	"predicted permease"
"b4065"	"yjcE"	"predicted cation/proton antiporter"
"b4066"	"yjcF"	"conserved protein"
"b4067"	"actP"	"acetate transporter"
"b4068"	"yjcH"	"conserved inner membrane protein involved in acetate transport"
"b4069"	"acs"	"bifunctional acetyl-CoA synthetase -!- propionyl-CoA synthetase"
"b4070"	"nrfA"	"nitrite reductase, formate-dependent, cytochrome"
"b4071"	"nrfB"	"nitrite reductase, formate-dependent, penta-heme cytochrome c"
"b4072"	"nrfC"	"formate-dependent nitrite reductase, 4Fe4S subunit"
"b4073"	"nrfD"	"formate-dependent nitrite reductase, membrane subunit"
"b4074"	"nrfE"	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE"
"b4075"	"nrfF"	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF"
"b4076"	"nrfG"	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG"
"b4077"	"gltP"	"glutamate/aspartate:proton symporter"
"b4078"	"yjcO"	"conserved protein"
"b4079"	"fdhF"	"formate dehydrogenase-H, selenopolypeptide subunit, also hydrogenase3, NAD, FeS, binds Mo"
"b4080"	"yjcP"	"predicted outer membrane factor of efflux pump"
"b4081"	"yjcQ"	"predicted multidrug efflux system component"
"b4082"	"yjcR"	"predicted membrane fusion protein of efflux pump"
"b4083"	"yjcS"	"predicted alkyl sulfatase"
"b4084"	"alsK"	"D-allose kinase"
"b4085"	"alsE"	"allulose-6-phosphate 3-epimerase"
"b4086"	"alsC"	"D-allose transporter subunit -!- membrane component of ABC superfamily"
"b4087"	"alsA"	"fused D-allose transporter subunits -!- ATP-binding components of ABC superfamily"
"b4088"	"alsB"	"D-allose transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b4089"	"rpiR"	"DNA-binding transcriptional repressor"
"b4090"	"rpiB"	"ribose 5-phosphate isomerase B/allose 6-phosphate isomerase"
"b4487"	"yjdP"	"conserved protein"
"b4092"	"phnP"	"carbon-phosphorus lyase complex accessory protein"
"b4093"	"phnO"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b4094"	"phnN"	"ribose 1,5-bisphosphokinase"
"b4095"	"phnM"	"carbon-phosphorus lyase complex subunit"
"b4096"	"phnL"	"carbon-phosphorus lyase complex subunit"
"b4097"	"phnK"	"carbon-phosphorus lyase complex subunit"
"b4098"	"phnJ"	"carbon-phosphorus lyase complex subunit"
"b4099"	"phnI"	"carbon-phosphorus lyase complex subunit"
"b4100"	"phnH"	"carbon-phosphorus lyase complex subunit"
"b4101"	"phnG"	"carbon-phosphorus lyase complex subunit"
"b4102"	"phnF"	"transcriptional regulator of phosphonate uptake and biodegradation"
"b4103"	"phnE"	"phosphonate/organophosphate ester transporter (pseudogene)"
"b4104"	"phnE"	"phosphonate/organophosphate ester transporter subunit -!- membrane component of ABC superfamily"
"b4105"	"phnD"	"phosphonate/organophosphate ester transporter subunit -!- periplasmic binding component of ABC superfamily"
"b4106"	"phnC"	"phosphonate/organophosphate ester transporter subunit -!- ATP-binding component of ABC superfamily"
"b4107"	"phnB"	"conserved protein"
"b4108"	"phnA"	"predicted phosphonate metabolizing protein"
"b4109"	"yjdA"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b4110"	"yjcZ"	"conserved protein"
"b4111"	"proP"	"proline/glycine betaine transporter"
"b4112"	"basS"	"sensory histidine kinase in two-component regulatory system with BasR"
"b4113"	"basR"	"DNA-binding response regulator in two-component regulatory system with BasS"
"b4114"	"eptA"	"predicted metal dependent hydrolase"
"b4115"	"adiC"	"arginine:agmatine antiporter"
"b4116"	"adiY"	"DNA-binding transcriptional activator"
"b4117"	"adiA"	"biodegradative arginine decarboxylase"
"b4118"	"melR"	"DNA-binding transcriptional dual regulator"
"b4119"	"melA"	"alpha-galactosidase, NAD(P)-binding"
"b4120"	"melB"	"melibiose:sodium symporter"
"b4121"	"yjdF"	"conserved inner membrane protein"
"b4122"	"fumB"	"anaerobic class I fumarate hydratase (fumarase B)"
"b4123"	"dcuB"	"C4-dicarboxylate antiporter"
"b4124"	"dcuR"	"DNA-binding response regulator in two-component regulatory system with DcuS"
"b4125"	"dcuS"	"sensory histidine kinase in two-component regulatory system with DcuR, regulator of anaerobic fumarate respiration"
"b4126"	"yjdI"	"conserved protein"
"b4127"	"yjdJ"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b4128"	"yjdK"	"predicted protein"
"b4559"	"yjdO"	"predicted protein"
"b4129"	"lysU"	"lysine tRNA synthetase, inducible"
"b4130"	"yjdL"	"predicted transporter"
"b4131"	"cadA"	"lysine decarboxylase 1"
"b4132"	"cadB"	"predicted lysine/cadaverine transporter"
"b4133"	"cadC"	"DNA-binding transcriptional activator"
"b4134"	"pheU"	"tRNA-Phe(GAA) (Phenylalanine tRNA)"
"b4135"	"yjdC"	"predicted transcriptional regulator"
"b4136"	"dipZ"	"fused thiol:disulfide interchange protein"
"b4137"	"cutA"	"copper binding protein, copper sensitivity"
"b4138"	"dcuA"	"C4-dicarboxylate antiporter"
"b4139"	"aspA"	"aspartate ammonia-lyase"
"b4140"	"fxsA"	"inner membrane protein"
"b4141"	"yjeH"	"predicted transporter"
"b4142"	"groS"	"Cpn10 chaperonin GroES, small subunit of GroESL"
"b4143"	"groL"	"Cpn60 chaperonin GroEL, large subunit of GroESL"
"b4144"	"yjeI"	"conserved protein"
"b4145"	"yjeJ"	"predicted protein"
"b4146"	"yjeK"	"predicted lysine aminomutase"
"b4147"	"efp"	"Elongation factor EF-P"
"b4410"	"ecnA"	"entericidin A membrane lipoprotein, antidote entericidin B"
"b4411"	"ecnB"	"entericidin B membrane lipoprotein"
"b4148"	"sugE"	"multidrug efflux system protein"
"b4149"	"blc"	"outer membrane lipoprotein (lipocalin)"
"b4150"	"ampC"	"beta-lactamase/D-alanine carboxypeptidase"
"b4151"	"frdD"	"fumarate reductase (anaerobic), membrane anchor subunit"
"b4152"	"frdC"	"fumarate reductase (anaerobic), membrane anchor subunit"
"b4153"	"frdB"	"fumarate reductase (anaerobic), Fe-S subunit"
"b4154"	"frdA"	"fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit"
"b4155"	"poxA"	"predicted lysyl-tRNA synthetase"
"b4156"	"yjeM"	"predicted transporter"
"b4157"	"yjeN"	"predicted protein"
"b4158"	"yjeO"	"conserved inner membrane protein"
"b4159"	"yjeP"	"predicted mechanosensitive channel"
"b4160"	"psd"	"phosphatidylserine decarboxylase"
"b4161"	"rsgA"	"ribosome small subunit-dependent GTPase A"
"b4162"	"orn"	"oligoribonuclease"
"b4163"	"glyV"	"tRNA-Gly(GCC) (Glycine tRNA3)"
"b4164"	"glyX"	"tRNA-Gly(GCC) (Glycine tRNA3)"
"b4165"	"glyY"	"tRNA-Gly(GCC) (Glycine tRNA3)"
"b4166"	"yjeS"	"predicted Fe-S electron transport protein"
"b4167"	"yjeF"	"predicted carbohydrate kinase"
"b4168"	"yjeE"	"ATPase with strong ADP affinity"
"b4169"	"amiB"	"N-acetylmuramoyl-l-alanine amidase II"
"b4170"	"mutL"	"methyl-directed mismatch repair protein"
"b4171"	"miaA"	"delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase"
"b4172"	"hfq"	"HF-I, host factor for RNA phage Q beta replication"
"b4173"	"hflX"	"predicted GTPase"
"b4174"	"hflK"	"modulator for HflB protease specific for phage lambda cII repressor"
"b4175"	"hflC"	"modulator for HflB protease specific for phage lambda cII repressor"
"b4176"	"yjeT"	"conserved inner membrane protein"
"b4177"	"purA"	"adenylosuccinate synthetase"
"b4178"	"yjeB"	"DNA-binding transcriptional repressor"
"b4179"	"rnr"	"exoribonuclease R, RNase R"
"b4180"	"rlmB"	"23S rRNA (Gm2251)-methyltransferase"
"b4181"	"yjfI"	"conserved protein"
"b4182"	"yjfJ"	"predicted transcriptional regulator effector protein"
"b4183"	"yjfK"	"conserved protein"
"b4184"	"yjfL"	"conserved inner membrane protein"
"b4185"	"yjfM"	"conserved protein"
"b4186"	"yjfC"	"predicted synthetase/amidase"
"b4187"	"aidB"	"isovaleryl CoA dehydrogenase"
"b4188"	"yjfN"	"predicted protein"
"b4189"	"yjfO"	"conserved protein"
"b4190"	"yjfP"	"predicted hydrolase"
"b4191"	"ulaR"	"DNA-binding transriptional dual regulator"
"b4192"	"ulaG"	"L-ascorbate 6-phosphate lactonase"
"b4193"	"ulaA"	"L-ascorbate-specific enzyme IIC component of PTS"
"b4194"	"ulaB"	"L-ascorbate-specific enzyme IIB component of PTS"
"b4195"	"ulaC"	"L-ascorbate-specific enzyme IIA component of PTS"
"b4196"	"ulaD"	"3-keto-L-gulonate 6-phosphate decarboxylase"
"b4197"	"ulaE"	"L-xylulose 5-phosphate 3-epimerase"
"b4198"	"ulaF"	"L-ribulose 5-phosphate 4-epimerase"
"b4199"	"yjfY"	"predicted protein"
"b4200"	"rpsF"	"30S ribosomal subunit protein S6"
"b4201"	"priB"	"primosomal protein N"
"b4202"	"rpsR"	"30S ribosomal subunit protein S18"
"b4203"	"rplI"	"50S ribosomal subunit protein L9"
"b4204"	"yjfZ"	"predicted protein"
"b4205"	"ytfA"	"predicted transcriptional regulator"
"b4206"	"ytfB"	"predicted cell envelope opacity-associated protein"
"b4207"	"fklB"	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
"b4208"	"cycA"	"D-alanine/D-serine/glycine transporter"
"b4209"	"ytfE"	"predicted regulator of cell morphogenesis and cell wall metabolism"
"b4210"	"ytfF"	"predicted inner membrane protein"
"b4211"	"ytfG"	"NAD(P)H:quinone oxidoreductase"
"b4212"	"ytfH"	"predicted transcriptional regulator"
"b4213"	"cpdB"	"2':3'-cyclic-nucleotide 2'-phosphodiesterase"
"b4214"	"cysQ"	"PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase"
"b4215"	"ytfI"	"predicted protein"
"b4216"	"ytfJ"	"predicted transcriptional regulator"
"b4217"	"ytfK"	"conserved protein"
"b4218"	"ytfL"	"predicted inner membrane protein"
"b4219"	"msrA"	"methionine sulfoxide reductase A"
"b4220"	"ytfM"	"predicted outer membrane protein and surface antigen"
"b4221"	"ytfN"	"conserved protein"
"b4222"	"ytfP"	"conserved protein"
"b4223"	"yzfA"	"predicted protein"
"b4224"	"chpS"	"antitoxin of the ChpB-ChpS toxin-antitoxin system"
"b4225"	"chpB"	"toxin of the ChpB-ChpS toxin-antitoxin system"
"b4226"	"ppa"	"inorganic pyrophosphatase"
"b4227"	"ytfQ"	"predicted sugar transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b4485"	"ytfR"	"predicted sugar transporter subunit -! ATP-binding component of ABC superfamily"
"b4230"	"ytfT"	"predicted sugar transporter subunit -!- membrane component of ABC superfamily"
"b4231"	"yjfF"	"predicted sugar transporter subunit -!- membrane component of ABC superfamily"
"b4232"	"fbp"	"fructose-1,6-bisphosphatase I"
"b4233"	"mpl"	"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase"
"b4234"	"yjgA"	"conserved protein"
"b4235"	"pmbA"	"predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17"
"b4236"	"cybC"	"cytochrome b562, truncated (pseudogene)"
"b4237"	"nrdG"	"anaerobic ribonucleotide reductase activating protein"
"b4238"	"nrdD"	"anaerobic ribonucleoside-triphosphate reductase"
"b4239"	"treC"	"trehalose-6-P hydrolase"
"b4240"	"treB"	"fused trehalose(maltose)-specific enzyme IIBC component of PTS"
"b4241"	"treR"	"DNA-binding transcriptional repressor"
"b4242"	"mgtA"	"magnesium transporter"
"b4243"	"yjgF"	"ketoacid-binding protein"
"b4244"	"pyrI"	"aspartate carbamoyltransferase, regulatory subunit"
"b4245"	"pyrB"	"aspartate carbamoyltransferase, catalytic subunit"
"b4246"	"pyrL"	"pyrBI operon leader peptide"
"b4248"	"yjgH"	"predicted mRNA endoribonuclease"
"b4249"	"yjgI"	"predicted oxidoreductase with NAD(P)-binding domain"
"b4251"	"yjgJ"	"predicted transcriptional regulator"
"b4252"	"yjgK"	"conserved protein"
"b4253"	"yjgL"	"predicted protein"
"b4254"	"argI"	"ornithine carbamoyltransferase 1"
"b4255"	"rraB"	"ribonuclease E (RNase E) inhibitor protein"
"b4256"	"yjgM"	"predicted acetyltransferase"
"b4257"	"yjgN"	"conserved inner membrane protein"
"b4258"	"valS"	"valyl-tRNA synthetase"
"b4259"	"holC"	"DNA polymerase III, chi subunit"
"b4260"	"pepA"	"aminopeptidase A, a cyteinylglycinase"
"b4261"	"yjgP"	"conserved inner membrane protein"
"b4262"	"yjgQ"	"conserved inner membrane protein"
"b4263"	"yjgR"	"predicted ATPase"
"b4264"	"idnR"	"DNA-binding transcriptional repressor, 5-gluconate-binding"
"b4265"	"idnT"	"L-idonate, D-gluconate, 5-keto-D-gluconate transporter"
"b4266"	"idnO"	"5-keto-D-gluconate-5-reductase, NADP-dependent, SDR family"
"b4267"	"idnD"	"L-idonate 5-dehydrogenase, NAD-binding, Zn binding"
"b4268"	"idnK"	"D-gluconate kinase, thermosensitive"
"b4269"	"yjgB"	"predicted alcohol dehydrogenase, Zn-dependent and NAD(P)-binding"
"b4270"	"leuX"	"tRNA-Leu(CAA) (Leucine tRNA5)"
"b4271"	"intB"	"KpLE2 phage-like element; predicted integrase"
"b4274"	"yjgW"	"KpLE2 phage-like element; predicted protein"
"b4275"	"yjgX_2"	"KpLE2 phage-like element; predicted protein, middle fragment (pseudogene)"
"b4276"	"yjgX_1"	"KpLE2 phage-like element; predicted protein, N-ter fragment (pseudogene)"
"b4560"	"yjgX_3"	"KpLE2 phage-like element; predicted protein, C-ter fragment (pseudogene)"
"b4575"	"yjgX"	"KpLE2 phage-like element; predicted protein (pseudogene)"
"b4277"	"yjgZ"	"KpLE2 phage-like element; predicted protein"
"b4278"	"insG"	"KpLE2 phage-like element; IS4 predicted transposase"
"b4279"	"yjhB"	"KpLE2 phage-like element; predicted transporter"
"b4280"	"yjhC"	"KpLE2 phage-like element; predicted oxidoreductase"
"b4281"	"yjhD"	"KpLE2 phage-like element; predicted protein (pseudogene)"
"b4282"	"yjhE"	"KpLE2 phage-like element; predicted membrane protein (pseudogene)"
"b4561"	"insM"	"KpLE2 phage-like element; predicted transposase fragment (pseudogene)"
"b4285"	"insO-2"	"KpLE2 phage-like element; partial transposase (pseudogene)"
"b4562"	"yjhW"	"KpLE2 phage-like element; predicted transposase fragment (pseudogene)"
"b4286"	"yjhV"	"KpLE2 phage-like element; predicted protein"
"b4287"	"fecE"	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- ATP-binding component of ABC superfamily"
"b4288"	"fecD"	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- membrane component of ABC superfamily"
"b4289"	"fecC"	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- membrane component of ABC superfamily"
"b4290"	"fecB"	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b4291"	"fecA"	"KpLE2 phage-like element; ferric citrate outer membrane transporter"
"b4292"	"fecR"	"KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport"
"b4293"	"fecI"	"KpLE2 phage-like element; RNA polymerase, sigma 19 factor"
"b4295"	"yjhU"	"KpLE2 phage-like element; predicted DNA-binding transcriptional regulator"
"b4296"	"yjhF"	"KpLE2 phage-like element; predicted transporter"
"b4297"	"yjhG"	"KpLE2 phage-like element; predicted dehydratase"
"b4298"	"yjhH"	"KpLE2 phage-like element; predicted lyase/synthase"
"b4299"	"yjhI"	"KpLE2 phage-like element; predicted DNA-binding transcriptional regulator"
"b4300"	"sgcR"	"KpLE2 phage-like element; predicted DNA-binding transcriptional regulator"
"b4301"	"sgcE"	"KpLE2 phage-like element; predicted epimerase"
"b4302"	"sgcA"	"KpLE2 phage-like element; predicted phosphotransferase enzyme IIA component"
"b4303"	"sgcQ"	"KpLE2 phage-like element; predicted nucleoside triphosphatase"
"b4304"	"sgcC"	"KpLE2 phage-like element; predicted phosphotransferase enzyme IIC component"
"b4565"	"sgcB"	"predicted enzyme IIB component of PTS"
"b4305"	"sgcX"	"KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain"
"b4306"	"yjhP"	"KpLE2 phage-like element; predicted methyltransferase"
"b4307"	"yjhQ"	"KpLE2 phage-like element; predicted acetyltransferase"
"b4566"	"yjhX"	"conserved protein"
"b4308"	"yjhR"	"KpLE2 phage-like element; predicted frameshift suppressor"
"b4309"	"yjhS"	"conserved protein"
"b4310"	"yjhT"	"conserved protein"
"b4311"	"yjhA"	"N-acetylnuraminic acid outer membrane channel protein"
"b4312"	"fimB"	"tyrosine recombinase/inversion of on/off regulator of fimA"
"b4313"	"fimE"	"tyrosine recombinase/inversion of on/off regulator of fimA"
"b4314"	"fimA"	"major type 1 subunit fimbrin (pilin)"
"b4315"	"fimI"	"fimbrial protein involved in type 1 pilus biosynthesis"
"b4316"	"fimC"	"chaperone, periplasmic"
"b4317"	"fimD"	"outer membrane usher protein, type 1 fimbrial synthesis"
"b4318"	"fimF"	"minor component of type 1 fimbriae"
"b4319"	"fimG"	"minor component of type 1 fimbriae"
"b4320"	"fimH"	"minor component of type 1 fimbriae"
"b4321"	"gntP"	"fructuronate transporter"
"b4322"	"uxuA"	"mannonate hydrolase"
"b4323"	"uxuB"	"D-mannonate oxidoreductase, NAD-binding"
"b4324"	"uxuR"	"DNA-binding transcriptional repressor"
"b4325"	"yjiC"	"predicted protein"
"b4326"	"yjiD"	"DNA replication/recombination/repair protein"
"b4327"	"yjiE"	"predicted DNA-binding transcriptional regulator"
"b4328"	"iadA"	"isoaspartyl dipeptidase"
"b4329"	"yjiG"	"conserved inner membrane protein"
"b4330"	"yjiH"	"conserved inner membrane protein"
"b4331"	"kptA"	"2'-phosphotransferase"
"b4332"	"yjiJ"	"predicted inner membrane protein"
"b4333"	"yjiK"	"conserved protein"
"b4334"	"yjiL"	"predicted ATPase, activator of (R)-hydroxyglutaryl-CoA dehydratase"
"b4335"	"yjiM"	"predicted 2-hydroxyglutaryl-CoA dehydratase"
"b4336"	"yjiN"	"conserved inner membrane protein"
"b4337"	"yjiO"	"multidrug efflux system protein"
"b4338"	"yjiP"	"predicted transposase (pseudogene)"
